FID,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,the_geom,FOTOGRAAF,FOTO_GROOT,BOUWJAAR
Molens.869,869,De Hamermolen,Apeldoorn-Ugchelen,watermolen,electriciteitsopwekking,watergedreven molen met bovenslagrad,bestaand,geen  rijksmonument,03524,https://zoeken.allemolens.nl/tenbruggencatenummer/03524,https://images.memorix.nl/rce/thumb/350x350/4d6af045-db4c-0aa5-4935-bc59a5b835ec.jpg,industriemolen,POINT (191590.9999996365 465769.0000049637),H.P.R. Rosenberg (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4d6af045-db4c-0aa5-4935-bc59a5b835ec.jpg,1916
Molens.870,870,Windlust,Nootdorp,windmolen,korenmolen,8-kante stellingmolen,bestaand,30780,03525,https://zoeken.allemolens.nl/tenbruggencatenummer/03525,https://images.memorix.nl/rce/thumb/350x350/94cb43f7-d3f3-e2be-d6a7-45d12be21a08.jpg,korenmolen,POINT (87513.9999998329 450321.0000017991),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/94cb43f7-d3f3-e2be-d6a7-45d12be21a08.jpg,onbekend
Molens.871,871,Bieslandse Bovenmolen Molen van de Drooggemaakte Polder van Biesland,Delfgauw,windmolen,poldermolen,8-kante grondzeiler,restant,geen  rijksmonument,03526,https://zoeken.allemolens.nl/tenbruggencatenummer/03526,https://images.memorix.nl/rce/thumb/350x350/a05ca517-78de-389b-3896-a0583e7165a0.jpg,poldermolen,POINT (86437.00000009396 448602.999995439),Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/a05ca517-78de-389b-3896-a0583e7165a0.jpg,onbekend
Molens.872,872,De Hoop,Tholen,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,35364,03527,https://zoeken.allemolens.nl/tenbruggencatenummer/03527,https://images.memorix.nl/rce/thumb/350x350/02b53627-05db-0a01-7cdb-f571dcf9ca63.jpg,korenmolen,POINT (73794.99999971544 394317.0000001334),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/02b53627-05db-0a01-7cdb-f571dcf9ca63.jpg,1736
Molens.873,873,De Verwachting,Tholen,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,527659,03528,https://zoeken.allemolens.nl/tenbruggencatenummer/03528,https://images.memorix.nl/rce/thumb/350x350/3b2e765a-4d18-ceb9-f2cb-df9589592d26.jpg,korenmolen,POINT (73966.99999981206 394150.00000447966),Paul Minkjan (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/3b2e765a-4d18-ceb9-f2cb-df9589592d26.jpg,1848
Molens.874,874,De Korenaar,Poortvliet,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,35377,03530,https://zoeken.allemolens.nl/tenbruggencatenummer/03530,https://images.memorix.nl/rce/thumb/350x350/f2cd112d-2709-f8ce-d35e-ec400a87394f.jpg,korenmolen,POINT (69059.00000026685 395682.00000308425),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f2cd112d-2709-f8ce-d35e-ec400a87394f.jpg,1710
Molens.875,875,De Nijverheid,Sint-Maartensdijk,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,35436,03531,https://zoeken.allemolens.nl/tenbruggencatenummer/03531,https://images.memorix.nl/rce/thumb/350x350/066f478a-932c-273b-7a08-7e6a8c3d75c6.jpg,korenmolen,POINT (64184.99999994748 397190.99999748677),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/066f478a-932c-273b-7a08-7e6a8c3d75c6.jpg,1868
Molens.876,876,De Hoop,Sint-Maartensdijk,windmolen,korenmolen,ronde stenen stellingmolen,restant,35409,03532,https://zoeken.allemolens.nl/tenbruggencatenummer/03532,https://images.memorix.nl/rce/thumb/350x350/4a9e2ac6-91f6-5491-7188-31146b3b49a3.jpg,korenmolen,POINT (64518.999999851905 396871.00000207627),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4a9e2ac6-91f6-5491-7188-31146b3b49a3.jpg,1847
Molens.877,877,De Korenbloem,Scherpenisse,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,35399,03533,https://zoeken.allemolens.nl/tenbruggencatenummer/03533,https://images.memorix.nl/rce/thumb/350x350/de1de78b-91bf-fdb3-9ad0-8ec43a9fe516.jpg,korenmolen,POINT (65668.99999993491 396062.99999937497),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/de1de78b-91bf-fdb3-9ad0-8ec43a9fe516.jpg,1872
Molens.878,878,De Hoop,Wemeldinge,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,23514,03535,https://zoeken.allemolens.nl/tenbruggencatenummer/03535,https://images.memorix.nl/rce/thumb/350x350/4d1cf867-9733-ddb4-0f58-72bc10587a71.jpg,korenmolen,POINT (58868.999999972744 392676.00000276824),W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4d1cf867-9733-ddb4-0f58-72bc10587a71.jpg,1866
