OID_,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,FOTOGRAAF,FOTO_GROOT,BOUWJAAR,x,y
519,520,De Geregtigheid,Katwijk aan den Rijn,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,23533,01781,https://zoeken.allemolens.nl/tenbruggencatenummer/01781,https://images.memorix.nl/rce/thumb/350x350/2edfe4a3-51af-1f6f-797f-07f3cf3fd17f.jpg,korenmolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2edfe4a3-51af-1f6f-797f-07f3cf3fd17f.jpg,1740,89107,467352
520,521,Oudenhofmolen,Oegstgeest,windmolen,poldermolen,wipmolen,bestaand,31250,01783,https://zoeken.allemolens.nl/tenbruggencatenummer/01783,https://images.memorix.nl/rce/thumb/350x350/e49cf640-98bf-a491-fc9e-4eec79e403ff.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e49cf640-98bf-a491-fc9e-4eec79e403ff.jpg,onbekend,92490,466912
521,522,Kikkermolen,Leiden,windmolen,poldermolen,wipmolen,bestaand,25651,01784,https://zoeken.allemolens.nl/tenbruggencatenummer/01784,https://images.memorix.nl/rce/thumb/350x350/91df3c67-512a-9d9d-10b8-7604934256df.jpg,poldermolen,Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/91df3c67-512a-9d9d-10b8-7604934256df.jpg,1752,93478,465708
522,523,Klaas Hennepoel Molen/ 't Poeltje,Warmond / Oegstgeest,windmolen,poldermolen,ronde stenen grondzeiler,bestaand,527420,01786,https://zoeken.allemolens.nl/tenbruggencatenummer/01786,https://images.memorix.nl/rce/thumb/350x350/83714a24-0ed3-a236-0041-4a09b71da101.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/83714a24-0ed3-a236-0041-4a09b71da101.jpg,onbekend,93918,466363
523,524,Boterhuismolen,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,bestaand,38312,01788,https://zoeken.allemolens.nl/tenbruggencatenummer/01788,https://images.memorix.nl/rce/thumb/350x350/ac211595-b14c-960f-3b97-9f03bc436ca5.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ac211595-b14c-960f-3b97-9f03bc436ca5.jpg,1744,95977,466802
524,525,Zwanburgermolen,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,bestaand,38307,01792,https://zoeken.allemolens.nl/tenbruggencatenummer/01792,https://images.memorix.nl/rce/thumb/350x350/c9885c70-5f99-4101-2eba-e491cd1e55bf.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c9885c70-5f99-4101-2eba-e491cd1e55bf.jpg,1805,95222,468175
525,526,De Kaager of Kager,Kaag (Dorp),windmolen,poldermolen,wipmolen,bestaand,7131,01798,https://zoeken.allemolens.nl/tenbruggencatenummer/01798,https://collecties.allemolens.nl/HttpHandler/icoon.ico?icoonfromxmlbeschr=12784,poldermolen,allemolens.nl,https://collecties.allemolens.nl/HttpHandler/icoon.ico?icoonfromxmlbeschr=12784,onbekend,99293,469785
526,527,Lijkermolen No.1.,Rijpwetering,windmolen,poldermolen,12-kante stenen grondzeiler,bestaand,7128,01801,https://zoeken.allemolens.nl/tenbruggencatenummer/01801,https://images.memorix.nl/rce/thumb/350x350/9edb421f-6c6f-1aa0-d379-db95a6e57737.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/9edb421f-6c6f-1aa0-d379-db95a6e57737.jpg,1780,100451,468501
527,528,Lijkermolen No.2.,Rijpwetering,windmolen,poldermolen,12-kante stenen grondzeiler,bestaand,7129,01802,https://zoeken.allemolens.nl/tenbruggencatenummer/01802,https://images.memorix.nl/rce/thumb/350x350/5831267f-4c2f-fb55-82f8-0af98efa5a3f.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/5831267f-4c2f-fb55-82f8-0af98efa5a3f.jpg,1780,100150,468209
528,529,Buurtermolen,Rijpwetering,windmolen,poldermolen,wipmolen,bestaand,7125,01803,https://zoeken.allemolens.nl/tenbruggencatenummer/01803,https://collecties.allemolens.nl/HttpHandler/icoon.ico?icoonfromxmlbeschr=12828,poldermolen,allemolens.nl,https://collecties.allemolens.nl/HttpHandler/icoon.ico?icoonfromxmlbeschr=12828,onbekend,99769,469243
529,530,De Kok,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,bestaand,38310,01805,https://zoeken.allemolens.nl/tenbruggencatenummer/01805,https://images.memorix.nl/rce/thumb/350x350/76f0dfed-b03e-69d5-bbfb-1ca209c21605.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/76f0dfed-b03e-69d5-bbfb-1ca209c21605.jpg,1809,97462,469457
530,531,Lakermolen of De Laeck,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,bestaand,38309,01807,https://zoeken.allemolens.nl/tenbruggencatenummer/01807,https://images.memorix.nl/rce/thumb/350x350/5b2d7103-638b-9f74-8e6b-23478677bc15.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/5b2d7103-638b-9f74-8e6b-23478677bc15.jpg,onbekend,96595,468677
531,532,Zweilandermolen,Warmond,windmolen,poldermolen,wipmolen,bestaand,38313,01808,https://zoeken.allemolens.nl/tenbruggencatenummer/01808,https://images.memorix.nl/rce/thumb/350x350/373cc5af-72fd-a118-5af8-ddb9bf5ffed0.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/373cc5af-72fd-a118-5af8-ddb9bf5ffed0.jpg,onbekend,97439,467766
532,533,Waterloosmolen,Rijpwetering,windmolen,poldermolen,8-kante grondzeiler,bestaand,7136,01809,https://zoeken.allemolens.nl/tenbruggencatenummer/01809,https://images.memorix.nl/rce/thumb/350x350/95f7ee34-4ce9-c7ea-11c4-c74131f4e4ea.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/95f7ee34-4ce9-c7ea-11c4-c74131f4e4ea.jpg,1857,99607,468292
533,534,De Vrouw Vennemolen,Oud Ade,windmolen,poldermolen,wipmolen,bestaand,7135,01810,https://zoeken.allemolens.nl/tenbruggencatenummer/01810,https://images.memorix.nl/rce/thumb/350x350/76c24139-3c61-922e-efd2-f7cee7a48b56.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/76c24139-3c61-922e-efd2-f7cee7a48b56.jpg,onbekend,98417,467273
534,535,Akkerslootmolen,Rijpwetering / Oud Ade,windmolen,poldermolen,8-kante grondzeiler,bestaand,7126,01811,https://zoeken.allemolens.nl/tenbruggencatenummer/01811,https://images.memorix.nl/rce/thumb/350x350/9dd8ade4-fe7a-f184-9df4-eadf5f5daca1.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/9dd8ade4-fe7a-f184-9df4-eadf5f5daca1.jpg,1793,99550,466941
